,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.,,,,
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.,,,,
time, volume, open, high, low, close01/03/2007,0,15.18,15.18,15.18,15.18
01/04/2007,0,14.96,14.96,14.96,14.96
01/05/2007,0,15.21,15.21,15.21,15.21
01/08/2007,0,15.05,15.05,15.05,15.05
01/09/2007,0,15.09,15.09,15.09,15.09
01/10/2007,0,14.86,14.86,14.86,14.86
01/11/2007,0,14.63,14.63,14.63,14.63
01/12/2007,0,14.07,14.07,14.07,14.07
01/16/2007,0,14.43,14.43,14.43,14.43
01/17/2007,0,14.34,14.34,14.34,14.34
01/18/2007,0,14.42,14.42,14.42,14.42
01/19/2007,0,14.18,14.18,14.18,14.18
01/22/2007,0,14.31,14.31,14.31,14.31
01/23/2007,0,14.09,14.09,14.09,14.09
01/24/2007,0,13.85,13.85,13.85,13.85
01/25/2007,0,14.24,14.24,14.24,14.24
01/26/2007,0,14.18,14.18,14.18,14.18
01/29/2007,0,14.2,14.2,14.2,14.2
01/30/2007,0,14.07,14.07,14.07,14.07
01/31/2007,0,13.84,13.84,13.84,13.84
02/01/2007,0,13.77,13.77,13.77,13.77
02/02/2007,0,13.87,13.87,13.87,13.87
02/05/2007,0,13.95,13.95,13.95,13.95
02/06/2007,0,13.97,13.97,13.97,13.97
02/07/2007,0,13.88,13.88,13.88,13.88
02/08/2007,0,13.98,13.98,13.98,13.98
02/09/2007,0,14.28,14.28,14.28,14.28
02/12/2007,0,14.5,14.5,14.5,14.5
02/13/2007,0,14.01,14.01,14.01,14.01
02/14/2007,0,13.86,13.86,13.86,13.86
02/15/2007,0,13.89,13.89,13.89,13.89
02/16/2007,0,13.86,13.86,13.86,13.86
02/20/2007,0,13.88,13.88,13.88,13.88
02/21/2007,0,14.03,14.03,14.03,14.03
02/22/2007,0,14.15,14.15,14.15,14.15
02/23/2007,0,14.2,14.2,14.2,14.2
02/26/2007,0,14.46,14.46,14.46,14.46
02/27/2007,0,16.84,16.84,16.84,16.84
02/28/2007,0,15.53,15.53,15.53,15.53
03/01/2007,0,15.46,15.46,15.46,15.46
03/02/2007,0,16.41,16.41,16.41,16.41
03/05/2007,0,16.73,16.73,16.73,16.73
03/06/2007,0,15.75,15.75,15.75,15.75
03/07/2007,0,15.58,15.58,15.58,15.58
03/08/2007,0,15.2,15.2,15.2,15.2
03/09/2007,0,15.21,15.21,15.21,15.21
03/12/2007,0,15.08,15.08,15.08,15.08
03/13/2007,0,15.86,15.86,15.86,15.86
03/14/2007,0,15.59,15.59,15.59,15.59
03/15/2007,0,15.49,15.49,15.49,15.49
03/16/2007,0,15.7,15.7,15.7,15.7
03/19/2007,0,15.12,15.12,15.12,15.12
03/20/2007,0,14.76,14.76,14.76,14.76
03/21/2007,0,14.03,14.03,14.03,14.03
03/22/2007,0,14.15,14.15,14.15,14.15
03/23/2007,0,14.21,14.21,14.21,14.21
03/26/2007,0,14.37,14.37,14.37,14.37
03/27/2007,0,14.49,14.49,14.49,14.49
03/28/2007,0,14.98,14.98,14.98,14.98
03/29/2007,0,14.93,14.93,14.93,14.93
03/30/2007,0,14.88,14.88,14.88,14.88
04/02/2007,0,14.84,14.84,14.84,14.84
04/03/2007,0,14.51,14.51,14.51,14.51
04/04/2007,0,14.51,14.51,14.51,14.51
04/05/2007,0,14.39,14.39,14.39,14.39
